handkerchief    手帕
handle  把手
hang    吊起
hanger  衣架
hardly  幾乎不
heater  暖氣機
height  高度
helicopter      直升機
hen     母雞
hero    英雄
hey     喂
highway 公路
hike    遠足
hip     好
hippo   河馬
hire    雇用
hole    洞
homesick        想家的
honesty 誠實
honey   蜂蜜
hop     單腳跳
horrible        可怕的
host    主人
housewife       家庭主婦
housework       家事
hug     擁抱
human   人類
humble  謙遜的
humid   潮濕的
humor   幽默
humorous        幽默的
hunger  飢餓
hunt    打獵
hunter  獵人
ignore  忽視
ill     生病的
imagine 想像
impolite        無禮的
importance      重要性
impossible      不可能的
improve 改進
inch    英吋
include 包括
income  收入
increase        增加
independent     獨立的
indicate        指示
influence       影響
information     消息
ink     墨水
insect  昆蟲
insist  堅持
inspire 鼓舞
instant 立即的
instrument      器材
intelligent     聰明的
international   國際性的
interrupt       打斷
interview       接見
introduce       介紹
invent  發明
invitation      邀請
invite  邀請
iron    鐵
jam     塞進
jazz    爵士樂
jealous 忌妒的
jeep    吉普車
joke    玩笑
journalist      新聞工作者
judge   審判
kangaroo        袋鼠
ketchup 番茄醬
kilometer       公里
kindergarten    幼稚園
kingdom 王國
kitten  小貓
koala   無尾熊
lack    缺少
lady    小姐
lamb    小羊
lantern 燈籠
latest  最新的
latter  後面的
law     法律
lawyer  律師
lay     下蛋
leaf    葉子
lettuce 萵苣
level   水平面
lick    舔
lid     蓋子
lift    抬起
lightning       閃電
likely  很可能
limit   限制
link    連接
liquid  液體
liter   公升
loaf    麵包
local   當地的
lock    鎖
locker  衣物櫃
loser   遺失者
lovely  可愛的
ma'am   夫人
mad     瘋狂的
magazine        雜誌
magician        魔術師
mail carrier    郵差
main    主要的
major   主修
male    男子
mall    大道
manager 經理
mango   芒果
manner  方法
marker  記分員
marry   結婚
marvelous       非凡的
mask    面具
mass    大眾的
master  主人
mat     地毯
match   相配
mathematics     數學
maximum 最大值
meaning 意義
measure 測量
mechanic        技工
member  會員
memory  記憶
men's room      男廁
message 消息
metal   金屬
meter   儀表
method  方法
microwave       微波
middle  中間的
midnight        午夜
minor   較少的
minus   減去
mirror  鏡子
mix     使混合
model   模型
monster 怪物
mop     拖把
mosquito        蚊子
motion  移動
movement        活動
MRT     捷運
mud     泥巴
musician        音樂家
nail    釘子
napkin  餐巾
narrow  狹窄的
nation  國家
natural 自然的
nature  自然
naughty 調皮的
nearly  幾乎
necessary       必要的
necklace        項鍊
needle  針
negative        負面的
neither 兩者皆不
nephew  姪兒
nervous 神經質的
nest    巢
net     網子
newspaper       報紙
nice-looking    好看的
niece   姪女
noisy   嘈雜的
none    一點也不
nor     也不
note    筆記
novel   小說
nut     堅果
obey    服從
object  物體
ocean   海洋
