abandon	拋棄
defend	防禦；辯護
defense	防禦
defensible	能防禦的
defensive	防禦性的
definite	明確的
definitely	清楚地；正式
delicate	細緻的；脆弱的
delicately	優美地；微妙地
delicacy	纖弱；微妙；佳餚
delight	高興；使高興
delightful	令人愉快的
demand	要求
demanding	要求嚴格的；辛苦的
demonstrate	示範；證明；示威
demonstration	示範；示威活動
dense	密集的
depart	出發；離開
departure	出發；離開
dependable	可信賴的
dependent	依賴的
dependence	依賴；信賴
depress	使沮喪
depressed	沮喪的
depressing	令人沮喪的
depression	沮喪；不景氣
deserve	值得；應得
desperate	不顧一切的；嚴重的
desperately	豁出去地；非常地
despair	絕望
desperation	拼命；孤注一擲
despite	儘管；不顧
destruction	破壞
destructive	破壞性的
detective	偵探；探員
determination	決心
device	裝置
devise	設計出；想出
devote	奉獻；致力於
devoted	摯愛的；埋首於...的
devotion	奉獻；摯愛
differ	相異
digest	消化；摘要；文摘
digestion	消化力
digital	數字的；數位的
dignity	莊嚴；尊嚴
diligence	勤勉
diploma	畢業證書
diplomat	外交官
disadvantage	不利的情況
disaster	災禍
disastrous	不幸的
discipline	訓練；教養；紀律；學科
disco	迪斯可舞廳
disconnect	斷絕...關係；切斷...電源
disconnected	斷絕的；切斷的
discourage	使沮喪；勸阻
discouraged	感覺沮喪的
discouraging	令人沮喪的
discouragement	沮喪；氣餒
disguise	假扮；喬裝
disgust	噁心；厭惡
disgusting	令人作嘔的
disgusted	嫌惡的
dismiss	解散；解雇
dismissal	解散；解雇
disorder	雜亂
disorderly	雜亂的
dispute	爭論
distinct	不同的；明顯的
distinction	區別；差異；卓越
distinguish	區別
distinguished	傑出的；著名的
distribute	分送；分布
distribution	分配物
district	地區
disturb	打擾
disturbance	混亂；不安
divine	神的；神聖的
divorce	離婚
dominant	支配的；優勢的
dominate	支配，左右；俯視
dormitory/dorm	宿舍
download	下載
doze	打盹
draft	打草稿
dread	害怕
dreadful	不安的；很差的
drift	漂流；趨勢
drill	鑽孔；練習
durable	耐用的；持久的
duration	持續期間
DVD/digital video disk	數位影音光碟
dye	染色；染料
dynamic	有活力的
dynasty	王朝
earnest	認真
earphone	耳機
economic	經濟的
economical	節約的
economics	經濟學
economist	經濟學家
economy	經濟
efficiency	效率
elastic	有彈力的
electrician	電工
electronics	電子學
elegant	高雅的
elegance	高雅
elementary	基礎的
eliminate	消除
elimination	消除
elsewhere	別處
e-mail/email	電子郵件
embarrass	使尷尬
embarrassed	不好意思的
embarrassing	令人不好意思的
embarrassment	尷尬
embassy	大使館
emerge	出現
emotional	情緒化的
emphasis	強調
empire	帝國
enclose	圍繞；隨信裝入
encounter	遇見；遭遇
endanger	危害
endure	忍受
enduring	持久的
enforce	實行；強迫
enforcement	執行；強迫
engineering	工程學
enlarge	放大
enlargement	放大之物
enormous	巨大的
entertain	娛樂；款待
entertainment	娛樂
enthusiasm	熱忱
enthusiastic	熱心的
envious	嫉妒的
equality	同等
equip	裝上裝備
equipment	設備；必要的知識
era	年代；紀元
errand	差事
escalator	手扶梯
essay	論文
essential	必需品
establish	建立；證實
establishment	建立
estimate	估計；估價
evaluate	評估；評價
evaluation	評價；鑑定
eve	前夕
eventual	最後的
eventually	最後，結果
evidence	證據
evident	明白的；明顯的
evidently	明白地；明顯地
exaggerate	誇張
exaggeration	誇張
examinee	應試者
exception	例外；除外
exhaust	耗盡；排氣
exhausted	精疲力盡的
exhaustion	枯竭
exhibit	展示；展示品
expand	擴大；膨脹
expansion	擴大
experimental	實驗的
explanation	說明
explore	探險；探究
exploration	探險；探究
explosion	爆炸；情緒爆發
explosive	炸藥
expose	使暴露
exposure	暴露；接觸
extend	擴大；延長；表示(邀請，感謝)
extension	延長；分機
extensive	廣大的；大量的
extent	程度；廣大的地區
extraordinary	不平凡的
facial	臉部的
facility	容易；能力；設備
faithful	忠貞的
fame	名譽；使聞名
fantastic	極好的
fantasy	空想
farewell	再見；告辭
fatal	致命的；左右命運的
favorable	贊成的；合適的；偏私的
feast	設宴招待；節日；祭日
ferry	渡船
fertile	肥沃的
fertilize	使肥沃；使受精
fertilizer	肥料
fetch	(去)拿來
fiction	小說；虛構的故事
fictitious	非真實的；假的
fierce	兇猛的；激烈的
fiercely	兇猛地；非常地
finance	財務；財源
financial	財務的；金融的
financially	財政上
firecracker	爆竹
flatter	奉承；諂媚
flattery	阿諛；奉承
flee	逃逸；消逝
flexible	可變通的；有彈性的
flexibility	柔軟度
fluent	流利的；雄辯的
fluently	流利地；流暢地
fluency	流利；流暢
flunk	考試不及格
flush	突然臉紅
foam	起泡沫
forbid	禁止
forbidden	被禁止的
forecast	預報
formation	形成；隊伍
formula	公式；配方
fort	要塞；城堡
fortunate	好運的
fortunately	幸運地
foundation	地基；基礎
founder	創始人
fragrance	芳香；香水
fragrant	芳香的
frame	框住；架構
framework	框架；骨骼；組織
frame-up	誣陷；誣賴
freeway	高速公路
frequency	頻率
freshman	大一新生
frost	用霜蓋上；凍壞(死)
frown	皺眉
frustration	挫折
fuel	補充燃料；激起
fulfill	履行
fulfillment	實現；成就感
functional	機能上的；官能上的；實用的
