a/an	一個
human	人
humane	有人性的
hundred	一百
hungry	飢餓的；渴望的
hurt	受傷
hurtful	有害的
husband	丈夫
ice	冰
idea	概念
if	假如...的話
important	重要的
in	在...之中
inch	緩緩向前；英吋
inside	在...內部
interest	興趣
interested	感興趣的
interesting	有趣味的
into	進入；陷入
iron	鐵；熨斗
jam	擁擠；果醬
January	一月
job	工作
join	結合
joke	笑話
joy	樂趣
juice	果汁
July	七月
jump	跳躍
June	六月
just	公平的；恰好
keep	保留
key	鑰匙；秘訣
kick	踢
kid	小孩；嘲笑
kill	殺死
killing	致命的
killer	殺手
kind	種類；仁慈的
kindness	仁慈
king	國王
kiss	吻
kitchen	廚房
kite	風箏
kitten	小貓
knee	膝蓋
knife	刀
know	知道
known	著名的
lack	缺乏
lady	女士
lake	湖泊
lamb	小羊
lamp	燈
land	陸地；登陸
large	大的
largely	大部分地
last	最後的；持續
lasting	永久的
late	遲的
later	稍晚
laugh	笑
law	法律
lay	生蛋；放置
lazy	懶惰的
lazily	懶洋洋地
laziness	懶惰
lead	引導
leading	領先的
leader	領袖
leaf	葉子；書頁
learn	學習
least	最少的
leave	離開
left	左邊
leg	腿
less	較少的
lesson	課；教訓
let	讓...
letter	信；字母
level	水平面
lie	謊言；躺
life	生命
lift	舉起
light	燈；輕鬆的
lightly	輕鬆地
like	像；喜歡
likely	可能
lily	百合花
line	線；排隊
lion	獅子
lip	嘴唇
list	名單
listen	聽
little	少的
live	居住；通電的
living	生活
long	長的；渴望
longing	渴望
look	看
lot	許多；籤
loud	大聲的
loudly	大聲地
love	愛
low	低的
lucky	幸運的
luckily	幸運地
lunch	午餐
machine	機器
mad	瘋狂的
madly	瘋狂地
madness	瘋狂
mail	郵件
main	主要的
mainly	主要地
make	製作；成為
man	男人
many	很多
map	地圖
March	三月
market	市場
marry	結婚
married	已婚的
master	碩士；主人；精通
match	比賽；火柴
matter	事務
May	五月
may	可能
maybe	也許
me	我
mean	卑鄙的；意思是
meat	肉類
meet	見面；滿足
middle	中間
mile	英里
milk	牛奶
mind	介意
minute	分鐘
Miss	小姐
miss	想念
mistake	錯誤
mistaken	錯誤的
Mister/Mr.	先生
moment	片刻
mommy	媽媽
Monday	星期一
money	金錢
monkey	猴子
month	月份
moon	月亮
more	更多的
morning	早上
most	最多的
mother	母親
mountain	山
mouse	老鼠；滑鼠
mouth	嘴巴
mouthful	一口的量
move	移動
movement	動作
movie	電影
Mrs.	太太
Ms.	女士
much	很多
mud	泥濘
mug	馬克杯
music	音樂；中聽的話
must	必須
my	我的
myself	我自己
name	名字
nation	國家
nature	自然
natural	不做作的
naturally	輕鬆地
near	接近
neck	脖子
need	需要
needless	不必要的
never	從未
new	新的
news	新聞
newspaper	報紙
next	接下來
nice	親切的
nicely	舒適的
night	夜晚
nine	九
ninth	第九的
nineteen	十九
ninety	九十
no	沒有；不
nope	不
noise	噪音
noisy	吵雜的
noisily	吵雜地
noon	中午
nor	也不
north	北方
nose	鼻子
not	不是
note	注意；筆記
noted	著名的
nothing	無
notice	注意到
November	十一月
now	現在
number	數字
nurse	護士；看護
okay	可以
ocean	海洋
o'clock	...點鐘
October	十月
of	...的
