drunk	醉的；醉漢
due	到期的；會費
dump	傾倒；垃圾場
dust	灰塵
eager	渴望的；熱心的
earnings	所得；工資；利潤
echo	發出回音；附和
edit	編輯
edition	版本
editor	編輯
editorial	社論
educate	教育
educated	有教養的
educational	教育的
efficient	有效率的
efficiently	有效率地
elbow	手肘
elderly	年長的
election	選舉
electric/electrical	電的
electricity	電力
electronic	電子的
electron	電子
emergency	緊急情況
emperor	皇帝
emphasize	強調
employ	雇用
employment	雇用
employee	受雇人員
employer	雇主
empty	空的
enable	使...能夠
energetic	精力充沛的
engage	從事；訂婚
engaged	忙碌的；占線；訂婚的
engagement	約會；訂婚
engine	引擎
engineer	工程師
enjoyable	有趣的
entry	進入；入口
environmental	環境的
envy	忌妒
erase	抹去；除去
escape	脫逃
essay	小品文
evil	邪惡的
excellence	優秀
exchange	交換
exhibition	展示；展覽
existence	生存
exit	出去；退場；出口
expectation	期望
expend	花費
expense	開支；費用
experiment	實驗
explode	爆炸；情緒爆發
export	出口；出口物品
expression	表示；表情
extreme	極度的；極端
extremely	非常地
fable	寓言
factor	因素
fade	褪色；衰退
faint	暈倒；微弱的
fairly	公平地
fairy	仙女；精靈
faith	信任；信仰
fake	偽造；贗品
familiar	熟悉的
familiarity	熟悉
fan	搧；激起
fancy	幻想；精緻的
fare	票價
farther	更遠地
fashion	方式；流行
fashionable	流行的；高級的
fasten	固定；繫牢
fate	命運
faucet	水龍頭
fax	傳真
feather	羽毛
feature	特色；特徵
file	歸檔；檔案
firework	煙火
fist	拳；拳頭
flame	火焰；熱情
flavor	味道；增添風味
flea	跳蚤
flesh	肉品
float	漂浮；浮板
flock	群集
fold	摺疊；摺痕
folk	人們；家屬；民俗的
follower	信徒
fond	有感情的；盲目溺愛的
forehead/brow	前額
forever	永久地
forth	向前；外出
fortune	運氣；財富
found	創立
fountain	噴泉；泉源
freeze	結冰
frozen	結冰的
frequent	頻繁的
frequently	經常地
friendship	友誼
frustrate	使受挫
frustrated	感覺受挫的
frustrating	令人沮喪的
fry	油炸
fund	資助；募款；公債
fur	毛
furry	軟毛的
furniture	家具
gallon	加侖
gamble	冒險；賭注
gang	一群；幫派
gap	裂縫；隔閡
garlic	大蒜
gasoline/gasolene/gas	汽油
gesture	手勢；示意
glance	匆匆一瞥
global	全球的
glory	光榮；壯麗
glow	灼熱；發光
gossip	散布謠言
governor	州長；地方首長
gown	禮服
grab	抓取
gradual	逐漸的
gradually	逐漸地
graduate	畢業；畢業生
grain	穀物
gram	公克
grasp	抓牢；理解
greenhouse	溫室
grin	露齒一笑
grocery	雜貨店
grocer	雜貨商
guardian	保護者；監護人
guidance	引導
gum/chewing gum	橡膠；口香糖；牙齦
gymnasium/gym	體育館；體育
handful	少數
handy	便利的；靈巧的
harbor	港；避難所
harm	傷害
harmful	有害的
harvest	收割；成果
hasty	急忙的；輕率的
hatch	孵化
hawk	鷹；叫賣
hay	乾草
headline	報紙標題
headquarters	總部
heal	治癒
heap	堆；許多
heaven	天堂；天空
heel	腳跟
hell	地獄
helmet	安全帽
hesitate	猶豫
hike	遠足；健行
hint	暗示；提示
historian	歷史學家
historic	重要的；歷史悠久的
historical	歷史的
hive	蜂房；人群嘈雜之處
hollow	中空的；不實的；洞穴
holy	神聖的
honesty	誠實
honor	尊敬；榮譽
horn	角；喇叭
horrible	可怕的；糟糕的
horror	恐懼
hourly	每一小時的
hug	擁抱
humorous	有幽默感的
hush	使安靜；靜寂
hut	小屋
icy	冰的；極冷的
ideal	理想的；想像的
identity	身分；一致
ignorance	無知
image	肖像；象徵
imagination	想像力
immediate	直接的；立刻的
immediately	立刻；直接地
import	進口；進口物品
impress	使銘記；使有深刻的印象
impressive	印象深刻的
indeed	確實地
individual	個人；個別的
indoor	室內的
indoors	室內地
industrial	工業的
inferior	下級的；次等的；部下
inferiority	低劣；下位
inform	通知
injure	損害；受傷
injured	受傷的；傷患
injury	損害；受傷
inn	旅店
inner	內部的
innocent	無罪的；天真的
inspect	檢查
inspector	檢查者
instead	取而代之，反而
instruction	教導；指示
internal	內部的
interrupt	打斷；阻礙
introduction	介紹；導論，前言
inventor	發明家
investigate	調查
ivory	象牙色的；象牙
jail	拘留；監獄
jar	瓶子；刺耳的聲音
jaw	顎
jealous	忌妒的；猜忌的
jealousy	忌妒；猜忌
jelly	果凍
jet	噴出；噴射飛機
jewel	寶石；首飾；寶貝的人或物
jewelry	珠寶首飾
journal	日記；日誌；定期刊物
journalist	新聞業者
journey	旅行；行程
joyful	喜悅的
jungle	叢林
junk	廢棄物
justice	正義；公正
kangaroo	袋鼠
kettle	水壺
keyboard	鍵盤
kidney	腎臟
kilogram/kg	公斤
kilometer/km	公里
kit	成套用具
kneel	跪下
knight	授予...爵位；爵士
knit	編織
knob	圓形的門把
knot	結；打結
label	標籤；歸類
lace	花邊；鞋帶
ladder	梯子
latter	後者的
laughter	笑；笑聲
laundry	洗衣店；待洗衣物
lawn	草坪
leak	洩漏
leap	跳躍
leather	皮革
leisure	閒暇
lengthen	加長；使變長
lens	透鏡
liar	說謊的人，騙子
liberal	自由的；無偏見的；慷慨的
liberty	自由
librarian	圖書館館員
lifetime	一生
lighthouse	燈塔
limb	手腳（的一肢）
linen	亞麻，亞麻布
litter	垃圾；一胎所生之動物
lively	活潑的；輕快的；愉快的
liver	肝臟
load	負荷；把貨物裝上；裝填子彈
loaded	裝滿東西的；裝了子彈的
lobby	旅館的大廳
lobster	龍蝦
lollipop	棒棒糖
loose	鬆的
loosely	鬆散地
loosen	放鬆
lord	主人；貴族
loudspeaker	擴音器
luggage	行李
lullaby	催眠曲，搖籃曲
lung	肺臟
magical	像魔法般的
magnet	磁鐵；磁石
maid	女僕；少女
major	主要的；主修科目
majority	大多數
makeup	化妝品
mall	購物中心
manage	管理；經營
management	經營；管理
manager	經理
mankind	人類
manners	禮貌
well-mannered	有禮貌的
ill-mannered	無禮的
marble	大理石彈珠
march	遊行；列隊行進；進行曲
marvelous	令人驚嘆的；很棒的
marvel	令人驚奇的事；對...感到驚奇
mathematical	數學的
mathematics/math	數學
mature	成熟的；長成；成熟
mayor	市長；鎮長
meadow	牧草地
meaningful	有意義的
meaningfully	有意義地
meanwhile	同時；目前
medal	獎章
medical	醫學的；醫藥的
medium/media	媒介；中等
melt	融化
membership	會員資格
memorize	熟記
mend	修補；改正
mental	精神的；智力的
mentally	精神上；智力上
mention	提及，提到
merchant	商人
merry	快樂的
merrily	快樂地
merriment	快樂；笑鬧
mess	雜亂；困境；弄髒
microphone/mike	麥克風
microwave	微波
might	可能；可以
mighty	強而有力的，強大的
might	力量
mightily	強力地；非常
mill	磨坊；麵粉廠；磨成粉
millionaire	百萬富翁
miner	礦工
mineral	礦物
minor	次要的；未成年人
minority	少數；少數民族
miracle	奇蹟
miraculous	奇蹟似的
miraculously	不可思議地
misery	悲慘
missile	飛彈
missing	失蹤的；缺少的
mission	使命，任務
mist	霧
misty	有霧的；模糊不清的
mixture	混合物；交錯
mob	暴民；烏合之眾
mobile	可以移動的
moist	潮濕的
moisture	濕氣；水分
monk	修道士；僧侶
mood	心情
mop	拖把；用拖把拖
moral	道德的
morally	道德上
motel	汽車旅館
motor	馬達；發動機
murder	殺人；謀殺；凶殺案
muscle	肌肉
mushroom	蘑菇；蕈；如雨後春筍般增長
musical	音樂的；音樂劇
mystery	神秘；奧秘
nap	小睡，打盹
native	本地的；原產的；天生的；當地居民；當地產物
navy	海軍
necessity	需要；必需品
necktie	領帶
neighborhood	附近地區
nerve	神經；勇氣
nervous	緊張的
nervously	緊張地
network	網狀組織
nickname	綽號，別名；暱稱
noble	高貴的；高尚的；貴族
normal	正常的
normally	通常
novelist	小說家
nun	修女；尼姑
oak	橡樹
observe	觀察；遵守；評論
obvious	明顯的
obviously	顯然
occasion	時候；場合；機會
odd	奇怪的；奇數的；偶爾的
oddly	奇怪地
odds	勝算；可能性
onto	到...上
operator	接線生
opportunity	機會
opposite	相反的；對面的
optimistic	樂觀的
origin	起源；源頭
original	最初的；原作
originally	原來；本來
originality	獨創性，創造力
orphan	孤兒
orphanage	孤兒院
ought to	應該
outdoor	戶外的
outdoors	在戶外
outer	外面的；遠離的
outline	輪廓；大綱
overcoat	大衣
owe	欠；歸功於
ownership	所有權
pad	襯墊；便條本子；填塞
pal	朋友；夥伴
palace	皇宮，宮殿
pale	蒼白的
pancake	薄煎餅
panic	恐慌
parade	遊行
paradise	天堂；樂園
parcel	包裹
participate	參加
passage	一段（文章）；道路；通過
passion	熱情；熱愛
passport	護照
password	暗語；密碼
patience	耐心；忍耐力
pause	暫停
pave	鋪路
pavement	人行道
paw	（貓狗的）腳掌
pea	豌豆
peak	山頂；頂點
pearl	珍珠
peel	（蔬菜、水果的）外皮；削皮
peep	偷看
penny	一分錢
perform	執行；表演
performer	表演者；執行者
performance	表現
permission	許可；許可證
permit	許可證；許可
personality	個性；人格
persuade	說服；使確信
pest	害蟲；令人討厭的人
pickle	酸黃瓜，泡菜
pill	藥丸
pilot	飛行員；引導
pine	松樹
pint	品脫（= 0.55 公升）
pit	坑洞；果核
pity	遺憾；同情
pitiful	可憐的
plastic	塑膠的；塑膠
plenty	大量，許多
plentiful	豐富的，充足的
plug	插頭；塞子；栓
plum	李子
plumber	水管工人
pole	棒，柱；（南北）極
political	政治的
politically	政治上
politician	政客；從政者
politics	政治；政治學
poll	投票；民意調查
pollute	汙染
pony	小型馬
pop	啪的一聲；突然做...；流行的
portion	一部分
portrait	肖像
portray	描繪
postage	郵資
poster	海報
postpone	延期
postponement	延期
pottery/ceramic(s)	陶器類
pour	倒（水）；（雨）傾盆而下
poverty	貧窮
powder	粉末
practical	實際的；實用的
practically	實際上
prayer	禱告；禱文
precious	珍貴的
preparation	準備
